지역명,산이름,지점번호,위도,경도,고도
서울특별시,홍릉수목원임외,1910,37.59,127.04,36
서울특별시,서울 천장산,1912,37.6,127.05,65
서울특별시,서울 용마산,1913,37.58,127.11,274
서울특별시,서울 봉산,1914,37.61,126.9,176
서울특별시,서울 개화산,1915,37.58,126.8,108
서울특별시,서울 구룡산,1916,37.47,127.05,222
서울특별시,서울 관악산,1917,37.45,126.93,382
서울특별시,서울 수락산,1918,37.69,127.08,340
세종특별자치시,세종 관불산,4910,36.57,127.21,238
세종특별자치시,세종 칠불산,4911,36.49,127.35,199
부산광역시,부산 양달산,8914,35.24,129.19,293
부산광역시,부산 백양산,8915,35.18,129.02,582
대전광역시,대전 계족산,4912,36.39,127.46,328
대전광역시,대전 보문산,4913,36.29,127.42,281
울산광역시,울산 능동산,8900,35.58,129.01,935
울산광역시,울주 백운산,8912,35.67,129.12,509
경기도,파주 팔일봉,1890,37.78,126.92,242
경기도,양평 금왕산,1891,37.46,127.79,364
경기도,양평 어비산,1892,37.57,127.53,748
경기도,양평 삼각산,1893,37.44,127.71,314
경기도,포천 한나무봉,1894,37.95,127.38,713
경기도,가평 서리산,1895,37.76,127.33,692
경기도,가평 청우산,1896,37.8,127.42,552
경기도,남양주 용암산,1903,37.75,127.14,401
경기도,파주 비학산,1905,37.88,126.91,389
경기도,양평 소리산,1906,37.61,127.67,400
경기도,여주 황학산,1919,37.27,127.65,112
경기도,화성 칠보산,1946,37.27,126.92,80
경기도,포천 운악산,1947,37.76,127.18,278
경기도,용인 바래기산,1948,37.17,127.27,367
경기도,여주 마감산,1949,37.3,127.75,280
경기도,가평 봉미산,2047,37.6,127.55,539
강원도,춘천 연엽산,2001,37.79,127.83,641
강원도,양구 봉화산,2009,38.08,128.1,684
강원도,영월 두위봉,2011,37.19,128.72,992
강원도,인제 대암산,2013,38.2,128.12,1156
강원도,인제 원대봉,2014,37.98,128.21,817
강원도,정선 백석봉,2015,37.46,128.65,740
강원도,평창 백석산,2019,37.52,128.51,1209
강원도,평창 중왕산,2020,37.48,128.5,1050
강원도,화천 두류산,2021,38.15,127.55,893
강원도,영월 망경대산,2023,37.15,128.62,757
강원도,영월 곰봉,2024,37.09,128.66,798
강원도,삼척 육백산,2025,37.21,129.11,976
강원도,강릉 피래산,2026,37.66,129,274
강원도,정선 중봉산,2027,37.45,128.95,1049
강원도,강릉 화란봉,2028,37.65,128.82,605
강원도,정선 하봉,2029,37.46,128.6,1014
강원도,정선 늑평산,2030,37.43,128.59,810
강원도,평창 매봉,2031,37.77,128.71,1110
강원도,평창 청태산,2032,37.51,128.31,975
강원도,횡성 매봉산,2033,37.51,127.84,364
강원도,횡성 태기산,2034,37.59,128.26,810
강원도,춘천 느랏재,2035,37.89,127.82,578
강원도,춘천 사오랑골,2036,37.88,127.88,533
강원도,횡성 마당재골,2037,37.57,127.88,434
강원도,홍천 매화산,2038,37.62,127.86,432
강원도,홍천 까끈봉,2039,37.63,127.82,373
강원도,홍천 오음산,2040,37.62,127.92,465
강원도,홍천 응봉산,2041,37.8,128.22,631
강원도,춘천 금병산,2042,37.81,127.75,381
강원도,춘천 죽엽산,2043,38.03,127.85,531
강원도,춘천 토보산,2044,38.07,127.57,672
강원도,춘천 석파령,2045,37.85,127.64,521
강원도,춘천 뒷재봉,2046,37.78,127.58,339
강원도,화천 일산,2048,38.19,127.81,683
강원도,화천 오봉산,2049,38.01,127.81,340
강원도,철원 용봉산,2050,38.14,127.35,302
강원도,횡성 어답산,2051,37.59,128.12,609
강원도,강릉 고루포기산,2052,37.66,128.75,714
강원도,강릉 대궁산,2053,37.77,128.78,553
강원도,양양 시루봉,2054,37.91,128.69,618
강원도,평창 구양사골,2055,37.73,128.71,930
강원도,평창 능경봉,2056,37.7,128.76,938
강원도,평창 황병산,2057,37.74,128.67,1137
강원도,정선 동강자연휴양림,2058,37.26,128.61,588
강원도,정선 꽃밭덩이산,2059,37.38,128.55,736
강원도,삼척 뇌암산,2060,37.18,129.22,685
강원도,삼척 깃대봉,2061,37.29,129.12,668
강원도,삼척 한오봉,2063,37.23,129.23,890
강원도,강릉 곤신봉,2890,37.75,128.77,705
강원도,인제 한석산,2891,38.05,128.26,1115
강원도,인제 가득봉,2892,37.85,128.19,980
강원도,홍천 불발령,2893,37.7,128.32,1013
강원도,양양 감투봉,2894,37.96,128.59,864
강원도,강릉 전후재,2895,37.04,128.96,1279
강원도,강릉 사기막,2896,36.96,128.96,832
강원도,강릉 제왕산,2897,36.85,129.09,1136
강원도,강릉 만덕봉,2898,37.84,128.63,794
강원도,평창 선자령,2899,37.78,128.75,452
강원도,정선 가리왕산,2900,36.57,128.91,399
강원도,정선 봉화치,2901,37.69,128.79,778
강원도,정선 갈고개,2902,36.52,129.25,811
강원도,삼척 덕항산,2903,36.61,129.25,682
강원도,태백 함백산,2904,36.41,129.32,270
